amparo_legal,categoria,codigo_modalidade,codigo_tipo,contratante,data_assinatura,data_proposta_comercial,data_publicacao,fornecedor,id,informacao_complementar,justificativa_inativo,licitacao_numero,links,modalidade,num_parcelas,numero,objeto,processo,prorrogavel,receita_despesa,sistema_origem_licitacao,situacao,subcategoria,subtipo,tipo,unidade_compra,unidades_requisitantes,valor_acumulado,valor_global,valor_inicial,valor_parcela,vigencia_fim,vigencia_inicio
LEI 14.133/2021 - Artigo: 75 - Inciso: II,Compras,06,99,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-01-04,,2023-01-05,"{'cnpj_cpf_idgener': '48.753.674/0001-93', 'nome': 'DANIELLE COSTA DE ARAUJO DAMACENO 01639956131', 'tipo': 'JURIDICA'}",177655,,,00117/2022,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/177655/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/177655/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/177655/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/177655/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/177655/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/177655/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/177655/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/177655/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/177655/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/177655/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/177655/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/177655/terceirizados'}",Dispensa,1,2022NE007539,AQUISIÇÃO DE EQUIPAMENTOS DE FOTOGRAFIA - CÂMERA FOTOGRÁFICA,000000216492,Sim,Despesa,,Ativo,,,Empenho,179087,,"0,00","2.800,00","2.800,00","2.800,00",2023-03-06,2023-01-04
LEI 14.133/2021 - Artigo: 75 - Inciso: II,Compras,06,99,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-01-04,,2023-01-05,"{'cnpj_cpf_idgener': '47.719.507/0001-63', 'nome': 'BF PRODUTOS LTDA', 'tipo': 'JURIDICA'}",177656,,,00117/2022,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/177656/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/177656/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/177656/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/177656/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/177656/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/177656/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/177656/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/177656/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/177656/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/177656/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/177656/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/177656/terceirizados'}",Dispensa,1,2023NE000027,AQUISIÇÃO DE EQUIPAMENTOS DE FOTOGRAFIA - TRIPÉS DE ILUMINAÇÃO E FOTOGRÁFICO.,000000216492,Sim,Despesa,,Ativo,,,Empenho,179087,,"0,00","959,33","959,33","959,33",2023-03-06,2023-01-04
LEI 14.133/2021 - Artigo: 75 - Inciso: II,Serviços,06,50,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-03-22,2022-09-20,2023-03-30,"{'cnpj_cpf_idgener': '10.865.146/0001-53', 'nome': 'BELFORT GERENCIAMENTO DE RESIDUOS LTDA', 'tipo': 'JURIDICA'}",187514,,,00101/2023,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/187514/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/187514/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/187514/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/187514/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/187514/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/187514/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/187514/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/187514/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/187514/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/187514/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/187514/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/187514/terceirizados'}",Dispensa,60,00101/2023,"SERVIÇOS DE COLETA, TRANSPORTE, TRATAMENTO E DESTINAÇÃO FINAL DE RESÍDUOS DE SERVIÇOS DE SAÚDE (RSS), NO EDIFÍCIO SEDE DO BANCO CENTRAL, EM BRASÍLIA (DF), COMPREENDENDO O FORNECIMENTO DE TODOS OS EQUIPAMENTOS E MATERIAIS DE CONSUMO NECESSÁRIOS À EXECUÇÃO CONTRATUAL",000000213466,Sim,Despesa,,Ativo,,,Contrato,179087,,"26.932,80","26.932,80","26.932,80","448,88",2028-03-22,2023-03-22
LEI 14.133/2021 - Artigo: 74 - Inciso: III - Alinea: F,Serviços,07,99,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-04-17,,2023-04-18,"{'cnpj_cpf_idgener': '86.781.069/0001-15', 'nome': 'ZENITE INFORMACAO E CONSULTORIA S/A', 'tipo': 'JURIDICA'}",189726,,,01977/2023,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/189726/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/189726/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/189726/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/189726/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/189726/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/189726/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/189726/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/189726/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/189726/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/189726/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/189726/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/189726/terceirizados'}",Inexigibilidade,1,2023NE001977,"INSCRIÇÃO DE UM SERVIDOR DA ADSAL/COMAT-01, NO CURSO “40 QUESTÕES PARA A APLICAÇÃO SEGURA DA NOVA LEI DE LICITAÇÕES 14.133/2021”, COM CARGA HORÁRIA DE 20 HORAS, FORNECIDO PELA EMPRESA ZÊNITE INFORMAÇÃO E CONSULTORIA S.A.",000000228865,Sim,Despesa,,Ativo,,,Empenho,179087,,"0,00","2.810,00","2.810,00","2.810,00",2024-04-16,2023-04-17
LEI 14.133/2021 - Artigo: 75 - Inciso: VIII,Serviços,06,50,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-04-14,2023-03-22,2023-04-19,"{'cnpj_cpf_idgener': '04.768.702/0001-70', 'nome': 'ENGEMIL - ENGENHARIA, EMPREENDIMENTOS,MANUTENCAO E INSTALACOES LTDA', 'tipo': 'JURIDICA'}",190232,,,02437/2023,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/190232/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/190232/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/190232/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/190232/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/190232/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/190232/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/190232/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/190232/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/190232/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/190232/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/190232/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/190232/terceirizados'}",Dispensa,1,02437/2023,"CONTRATAÇÃO DE EMPRESA PARA A PRESTAÇÃO DE SERVIÇOS DE ASSESSORAMENTO PARA ELABORAÇÃO DE PROJETOS DE ENGENHARIA E ARQUITETURA, DESENVOLVIMENTO DE ESPECIFICAÇÕES TÉCNICAS E DE ORÇAMENTOS, FISCALIZAÇÃO DE OBRAS, ELABORAÇÃO DE LAUDOS TÉCNICOS EM ENGENHARIA, APOIO AOS SERVIÇOS DE OPERAÇÃO E MANUTENÇÃO DOS PRÉDIOS DO BANCO CENTRAL DO BRASIL E APOIO À INSTALAÇÃO DE SISTEMAS DE SEGURANÇA (DESEG).",000000228369,Não,Despesa,,Ativo,,,Contrato,179087,,"2.528.409,31","2.528.409,31","2.528.409,31","2.528.409,31",2024-03-15,2023-04-14
LEI 14.133/2021 - Artigo: 74 - Inciso: III - Alinea: F,Serviços,07,99,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-04-28,,2023-05-12,"{'cnpj_cpf_idgener': '00.476.614/0001-44', 'nome': 'INSTITUTO BRASILEIRO DE CIENCIA BANCARIA', 'tipo': 'JURIDICA'}",193357,,,02764/2023,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/193357/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/193357/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/193357/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/193357/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/193357/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/193357/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/193357/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/193357/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/193357/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/193357/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/193357/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/193357/terceirizados'}",Inexigibilidade,2,2023NE002764,"AQUISIÇÃO DE DUAS TURMAS DO CURSO, SENDO QUE UMA TURMA USARÁ A NE 2023/2764 E SERÁ PAGA COM RECURSOS OGU CAPACITAÇÃO E A OUTRA TURMA SERÁ PAGA COM A NE 2023/02177 E SERÁ PAGA COM RECURSOS OGU PROJETOS, COM AUTORIZADORES DIFERENTES.",000000226947,Não,Despesa,,Ativo,,,Empenho,179087,,"0,00","68.000,00","68.000,00","34.000,00",2024-05-12,2023-05-12
LEI 14.133/2021 - Artigo: 74 - Inciso: I,Compras,07,50,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-05-23,2023-02-13,2023-05-30,"{'cnpj_cpf_idgener': '07.797.967/0001-95', 'nome': 'NP TECNOLOGIA E GESTAO DE DADOS LTDA', 'tipo': 'JURIDICA'}",196043,,,03009/2023,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/196043/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/196043/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/196043/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/196043/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/196043/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/196043/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/196043/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/196043/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/196043/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/196043/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/196043/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/196043/terceirizados'}",Inexigibilidade,1,03009/2023,CONTRATAÇÃO DE ASSINATURA DE FERRAMENTA DE PESQUISA E COMPARAÇÃO DE PREÇOS PRATICADOS PELA ADMINISTRAÇÃO PÚBLICA.,000000230496,Sim,Despesa,,Ativo,,,Contrato,179087,,"28.905,00","30.205,73","28.905,00","30.205,73",2025-05-23,2023-05-23
LEI 14.133/2021 - Artigo: 74 - Inciso: I,Serviços,07,99,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-06-05,2023-05-18,2023-06-05,"{'cnpj_cpf_idgener': '04.067.191/0001-60', 'nome': 'EDITORA GLOBO S/A', 'tipo': 'JURIDICA'}",196989,,,03381/2023,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/196989/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/196989/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/196989/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/196989/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/196989/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/196989/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/196989/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/196989/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/196989/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/196989/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/196989/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/196989/terceirizados'}",Inexigibilidade,1,2023NE003381,"ASSINATURA DOS PERÍODICOS ""JORNAL O GLOBO"" E ""VALOR ECONÔMICO"" PARA ATENDER AS DEMANDAS DA DIRETORIA COLEGIADA E DEPARTAMENTOS DO BC.",000000237564,Sim,Despesa,,Ativo,,,Empenho,179087,,"11.793,60","11.793,60","11.793,60","11.793,60",2024-06-05,2023-06-05
LEI 14.133/2021 - Artigo: 75 - Inciso: II,Compras,06,99,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-06-21,2023-06-15,2023-08-22,"{'cnpj_cpf_idgener': '47.887.677/0001-57', 'nome': 'COMERCIAL PH LTDA', 'tipo': 'JURIDICA'}",199595,,,03300/2023,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/199595/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/199595/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/199595/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/199595/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/199595/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/199595/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/199595/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/199595/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/199595/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/199595/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/199595/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/199595/terceirizados'}",Dispensa,1,2023NE003300,"AQUISIÇÃO DE ARMÁRIOS, TIPO LOCKER EM MDP, COM OITO NICHOS CADA E FECHADURAS INTEGRADAS.",000000233068,Sim,Despesa,,Ativo,,,Empenho,179087,,"0,00","44.539,00","44.539,00","44.539,00",2023-09-18,2023-06-22
LEI 14.133/2021 - Artigo: 74 - Inciso: I,Serviços,07,50,"{'orgao': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '25201', 'nome': 'BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL', 'unidade_gestora_origem': {'codigo': '179087', 'nome': 'BANCO CENTRAL DO BRASIL - BRASÍLIA', 'nome_resumido': 'BANCO CENTRAL D', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2023-06-26,2023-04-04,2023-07-04,"{'cnpj_cpf_idgener': '09.168.704/0001-42', 'nome': 'EMPRESA BRASIL DE COMUNICACAO S.A. - EBC', 'tipo': 'JURIDICA'}",200331,,,00790/2023,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/200331/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/200331/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/200331/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/200331/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/200331/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/200331/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/200331/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/200331/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/200331/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/200331/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/200331/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/200331/terceirizados'}",Inexigibilidade,60,00790/2023,DISTRIBUIÇÃO DA PUBLICIDADE LEGAL IMPRESSA E/OU ELETRÔNICA DE INTERESSE DO BCB.,000000229219,Sim,Despesa,,Ativo,,,Contrato,179087,,"499.999,80","500.000,00","500.000,00","8.333,33",2028-06-26,2023-06-26
