amparo_legal,categoria,codigo_modalidade,codigo_tipo,contratante,data_assinatura,data_proposta_comercial,data_publicacao,fornecedor,id,informacao_complementar,justificativa_inativo,licitacao_numero,links,modalidade,num_parcelas,numero,objeto,processo,prorrogavel,receita_despesa,sistema_origem_licitacao,situacao,subcategoria,subtipo,tipo,unidade_compra,unidades_requisitantes,valor_acumulado,valor_global,valor_inicial,valor_parcela,vigencia_fim,vigencia_inicio
LEI 10.520 / 2002 - Artigo: 1,Serviços,05,50,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-03-01,,2021-03-02,"{'cnpj_cpf_idgener': '12.772.138/0001-98', 'nome': 'B P 2 S CONSTRUCAO E LOCACAO DE EQUIPAMENTOS LTDA', 'tipo': 'JURIDICA'}",92227,,,00094/2020,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/92227/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/92227/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/92227/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/92227/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/92227/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/92227/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/92227/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/92227/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/92227/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/92227/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/92227/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/92227/terceirizados'}",Pregão,8,00006/2021,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A LOCAÇÃO DE GRUPOS MOTORES GERADORES, CONFORME CONDIÇÕES, QUANTIDADES, EXIGÊNCIAS E ESTIMATIVAS ESTABELECIDAS NESTE CONTRATO, PODENDO SER AUTORIZADO DE FORMA INTEGRAL, PARCIAL, UNITÁRIA OU NULA, COM BASE EM VALORES SEMANAIS UNITÁRIOS, PARA ATENDER ÀS NECESSIDADES DO HOSPITAL NAVAL MARCÍLIO DIAS (HNMD).",63148.010035/2020-54,,Despesa,,Ativo,,,Contrato,765720,,"61.600,00","61.600,00","61.600,00","7.700,00",2022-03-01,2021-03-01
LEI 8.666 / 1993 - Artigo: 25,Serviços,07,50,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-01-26,,2021-03-03,"{'cnpj_cpf_idgener': '01.449.930/0001-90', 'nome': 'SIEMENS HEALTHCARE DIAGNOSTICOS LTDA.', 'tipo': 'JURIDICA'}",92534,,,00016/2020,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/92534/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/92534/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/92534/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/92534/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/92534/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/92534/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/92534/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/92534/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/92534/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/92534/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/92534/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/92534/terceirizados'}",Inexigibilidade,12,00004/2021,"CONTRATAÇÃO DE SERVIÇOS DE ASSISTÊNCIA TÉCNICA PARA MANUTENÇÃO PREVENTIVA E CORRETIVA, COM O FORNECIMENTO DE PEÇAS NA MODALIDADE PERFORMANCE TOP E SEM O FORNECIMENTO DE PEÇAS PARA A MODALIDADE PERFORMANCE PLUS, CONFORME CONDIÇÕES ABAIXO ESPECIFICADAS, PARA OS EQUIPAMENTOS DA MARCA SIEMENS, INSTALADOS NO SERVIÇO DE RADIODIAGNÓSTICO, CLÍNICA DE UROLOGIA E SERVIÇO DE MEDICINA NUCLEAR DO HOSPITAL NAVAL MARCÍLIO DIAS (HNMD)",63148.015486/2020-88,,Despesa,,Ativo,,,Contrato,,,"1.014.929,76","1.014.929,76","1.014.929,76","84.577,48",2022-01-26,2021-01-26
LEI 8.666 / 1993 - Artigo: 25 - Inciso: III,Serviços de Saúde,07,51,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-02-22,,2021-03-03,"{'cnpj_cpf_idgener': '14.944.880/0001-69', 'nome': 'RADIOVITAE SERVICOS MEDICOS LTDA', 'tipo': 'JURIDICA'}",92535,,,00007/2018,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/92535/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/92535/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/92535/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/92535/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/92535/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/92535/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/92535/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/92535/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/92535/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/92535/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/92535/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/92535/terceirizados'}",Inexigibilidade,12,00106/2020,"CONTRATAÇÃO DE ORGANIZAÇÕES CIVIS DE SAÚDE (OCS) PARA INSCRIÇÃO EM REGISTRO CADASTRAL E CREDENCIAMENTO NA ÁREA DE RADIOTERAPIA (TELETERAPIA) EM ONCOLOGIA, E REALIZAÇÃO DOS PROCEDIMENTOS CONSTANTES NA TABELA VIGENTE DA CLASSIFICAÇÃO BRASILEIRA HIERARQUIZADA DE PROCEDIMENTOS MÉDICOS - 2016 (CBHPM-2016) COM REDUTOR DE 50%, VISANDO O ATENDIMENTO AOS USUÁRIOS DO SISTEMA DE SAÚDE DA MARINHA (SSM).",63148.001159/2018-24,,Despesa,,Ativo,,,Credenciamento,,,"2.084.072,88","1.042.036,44","1.042.036,44","86.836,37",2023-02-22,2021-02-22
LEI 10.520 / 2002 - Artigo: 1,Compras,05,50,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-01-15,,2021-03-08,"{'cnpj_cpf_idgener': '58.598.368/0001-83', 'nome': 'KONIMAGEM COMERCIAL LTDA', 'tipo': 'JURIDICA'}",93241,,,00089/2020,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/93241/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/93241/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/93241/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/93241/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/93241/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/93241/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/93241/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/93241/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/93241/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/93241/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/93241/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/93241/terceirizados'}",Pregão,1,00007/2021,AQUISIÇÃO DE ARCO CIRÚRGICO DIGITAL COM INTENSIFICADOR DE IMAGEM,63148.017650/2020-91,,Despesa,,Ativo,,,Contrato,765720,,"1.488.000,00","1.488.000,00","1.488.000,00","1.488.000,00",2023-01-15,2021-01-15
LEI 8.666 / 1993 - Artigo: 25 - Inciso: III,Serviços de Saúde,07,51,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-03-05,,2021-03-09,"{'cnpj_cpf_idgener': '31.541.546/0001-83', 'nome': 'VIDA FAMILIAR APOIO E ASSISTENCIA A PACIENTE NO DOMICILIO LTDA', 'tipo': 'JURIDICA'}",93557,,,00008/2020,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/93557/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/93557/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/93557/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/93557/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/93557/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/93557/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/93557/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/93557/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/93557/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/93557/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/93557/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/93557/terceirizados'}",Inexigibilidade,12,00100/2020,"PRESTAÇÃO DE ATENDIMENTO DOMICILIAR MULTIPROFISSIONAL, POR MEIO DE EQUIPE TÉCNICA A PACIENTES COM LIMITAÇÃO FUNCIONAL E SUAS DOENÇAS DE BASE CONTROLADAS E ESTABILIZADAS.",63148.004991/2020-05,,Despesa,,Ativo,,,Credenciamento,,,"4.965.000,00","4.965.000,00","4.965.000,00","413.750,00",2022-03-05,2021-03-05
LEI 10.520 / 2002 - Artigo: 1,Serviços de Saúde,05,50,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-03-19,,2021-03-23,"{'cnpj_cpf_idgener': '35.382.879/0001-68', 'nome': 'DAF COMERCIO DE MOVEIS E EQUIPAMENTOS TECNICOS LTDA', 'tipo': 'JURIDICA'}",95383,,,00007/2021,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/95383/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/95383/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/95383/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/95383/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/95383/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/95383/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/95383/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/95383/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/95383/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/95383/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/95383/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/95383/terceirizados'}",Pregão,1,00009/2021,AQUISIÇÃO DE CABINE SEGURANÇA BIOLÓGICA,63148.020297/2020-27,,Despesa,,Ativo,,,Contrato,765720,,"26.000,00","26.000,00","26.000,00","26.000,00",2022-03-19,2021-03-19
LEI 8.666 / 1993 - Artigo: 25,Serviços de Saúde,07,51,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-04-05,,2021-04-19,"{'cnpj_cpf_idgener': '03.777.405/0001-29', 'nome': 'COSTA MACNEVES OFTALMOLOGISTAS ASSOCIADOS', 'tipo': 'JURIDICA'}",98252,,,00986/2017,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/98252/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/98252/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/98252/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/98252/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/98252/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/98252/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/98252/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/98252/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/98252/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/98252/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/98252/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/98252/terceirizados'}",Inexigibilidade,1,00107/2020,"PRESTAÇÃO DE SERVIÇO DE ASSISTÊNCIA MÉDICA NA ESPECIALIDADE DE OFTALMOLOGIA, POR MÉDICOS OFTALMOLOGISTAS E/OU CLÍNICAS ESPECIALIZADAS PARA REALIZAÇÃO DE PROCEDIMENTOS CIRÚRGICOS ESPECÍFICOS, NO CENTRO CIRÚRGICO AMBULATORIAL DO HOSPITAL NAVAL MARCÍLIO DIAS, NA ESPECIALIDADE MÉDICA ANTERIORMENTE CITADA, VISANDO O ATENDIMENTO DOS USUÁRIOS DO SISTEMA DE SAÚDE DA MARINHA (SSM)",63148.000986/2017-10,,Despesa,,Ativo,,,Credenciamento,,,"0,00","0,00","0,00","0,00",2022-04-05,2021-04-05
LEI 10.520 / 2002 - Artigo: 1,Serviços de Saúde,05,50,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-04-01,,2021-04-30,"{'cnpj_cpf_idgener': '23.824.155/0001-48', 'nome': 'JC SOLUCOES EM SAUDE  DOMICILIAR LTDA', 'tipo': 'JURIDICA'}",99655,,,00009/2021,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/99655/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/99655/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/99655/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/99655/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/99655/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/99655/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/99655/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/99655/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/99655/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/99655/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/99655/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/99655/terceirizados'}",Pregão,12,00015/2021,SERVIÇOS DE EMPRESA ESPECIALIZADA EM INTERNAÇÃO E ATENDIMENTO MULTIDISCIPLINAR EM DOMICÍLIO A PACIENTE PEDIÁTRICO EM REGIME DE HOME CARE,63148.017894/2020-74,,Despesa,,Ativo,,,Contrato,765720,,"342.000,00","342.000,00","342.000,00","28.500,00",2022-04-01,2021-04-01
LEI 8.666 / 1993 - Artigo: 25,Serviços,07,50,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-03-01,,2021-04-30,"{'cnpj_cpf_idgener': '31.895.469/0001-60', 'nome': 'EMFORMATE EMPRESA FORNECEDORA DE MATERIAIS LTDA', 'tipo': 'JURIDICA'}",99659,,,00020/2020,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/99659/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/99659/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/99659/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/99659/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/99659/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/99659/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/99659/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/99659/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/99659/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/99659/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/99659/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/99659/terceirizados'}",Inexigibilidade,12,00012/2021,"SERVIÇOS DE ASSISTÊNCIA TÉCNICA PARA MANUTENÇÃO PREVENTIVA E CORRETIVA, COM FORNECIMENTO DE PEÇAS PARA 85 (OITENTA E CINCO) LEITOS FOWLER ELETROMECÂNICOS, DA MARCA VALLITECH.",63148.018997/2020-51,,Despesa,,Ativo,,,Contrato,,,"1.107.495,00","389.956,32","295,09","32.496,36",2022-03-01,2021-03-01
LEI 10.520 / 2002 - Artigo: 1,Serviços,05,50,"{'orgao': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}, 'orgao_origem': {'codigo': '52131', 'nome': 'COMANDO DA MARINHA', 'unidade_gestora_origem': {'codigo': '765720', 'nome': 'HOSPITAL NAVAL MARCILIO DIAS', 'nome_resumido': 'HNMD', 'sisg': 'Não', 'utiliza_siafi': 'Sim'}}}",2021-04-28,,2021-04-30,"{'cnpj_cpf_idgener': '14.349.591/0001-11', 'nome': 'BK ENGENHARIA E METROLOGIA LTDA', 'tipo': 'JURIDICA'}",99664,,,00011/2021,"{'arquivos': 'https://contratos.comprasnet.gov.br/api/contrato/99664/arquivos', 'cronograma': 'https://contratos.comprasnet.gov.br/api/contrato/99664/cronograma', 'despesas_acessorias': 'https://contratos.comprasnet.gov.br/api/contrato/99664/despesas_acessorias', 'empenhos': 'https://contratos.comprasnet.gov.br/api/contrato/99664/empenhos', 'faturas': 'https://contratos.comprasnet.gov.br/api/contrato/99664/faturas', 'garantias': 'https://contratos.comprasnet.gov.br/api/contrato/99664/garantias', 'historico': 'https://contratos.comprasnet.gov.br/api/contrato/99664/historico', 'itens': 'https://contratos.comprasnet.gov.br/api/contrato/99664/itens', 'ocorrencias': 'https://contratos.comprasnet.gov.br/api/contrato/99664/ocorrencias', 'prepostos': 'https://contratos.comprasnet.gov.br/api/contrato/99664/prepostos', 'responsaveis': 'https://contratos.comprasnet.gov.br/api/contrato/99664/responsaveis', 'terceirizados': 'https://contratos.comprasnet.gov.br/api/contrato/99664/terceirizados'}",Pregão,12,00021/2021,"serviços de manutenção preditiva, preventiva e corretiva, com fornecimento de peças, em equipamento médico hospitalar da Clínica de Medicina Hiperbárica do Hospital Naval Marcílio Dias",63148.021043/2020-26,,Despesa,,Ativo,,,Contrato,765720,,"344.660,04","344.660,00","228.000,00","28.721,67",2022-04-28,2021-04-28
